,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,103.10084502551021,135.59984853316325,71.22217793367346,47.759576995173134,56.12524923507242,27.88339006458594,99.3539995032002,0.9770410584150839,0.3256921874855211,11.493830261786213
1,97.95894451530613,131.5596301020408,68.6635443239796,45.75305524713269,54.34691091918255,28.066525790757886,108.58779648193206,0.9724770123401036,0.3333679841608977,11.33586004688121
2,137.22602439413265,145.1053093112245,110.21948740433673,37.91590359891192,28.64014391206094,44.79411914033665,69.45300962017708,0.9670867255405571,0.22505152030973602,11.651562241592952
3,138.48628826530611,146.59789540816325,110.0680006377551,38.67382823770826,28.378410217788108,43.871191923903545,93.989293107033,0.9550074506288713,0.18821766292592565,11.929020787401521
4,138.9919284119898,146.37697305484693,111.00739397321429,36.638108563397395,27.582813385901748,40.65284030766406,88.29393531691773,0.9533316511439619,0.2054385991026896,11.771005911846174
5,135.63149713010205,142.27684550382654,110.55464764030613,36.72005300063673,27.06579364233026,36.73983522812113,80.41293662094985,0.9563682932617252,0.20249480045038004,11.677619479519308
6,66.80367107780613,77.13715720663265,28.419921875,53.91672368743976,48.16399371169673,64.69141733771384,56.7575760847005,0.9910566343880871,0.4298787407517092,9.63493906048483
7,78.52967554209184,87.23762356505102,47.298907844387756,72.31111365665214,64.65700778274238,83.80688402150464,81.26747958309035,0.9935199410382328,0.4416665098796849,9.699498483145904
8,62.4421237244898,75.18520806760205,33.245037468112244,60.767604595881735,54.72721987979509,72.65143407128993,98.19148822331321,0.9910607291437353,0.4456865017632974,9.39032616039225
9,61.44688695790816,75.67669802295919,19.743104272959183,43.08873263646187,37.62491720704172,47.7271097514105,42.91625655696733,0.9873916851945612,0.4253416420281933,9.467292699332411
10,67.29249043367346,80.24709024234694,33.716179049744895,59.65365823431549,54.254531798245495,67.4974248826529,73.83785180409964,0.9927842691510204,0.4400697926459055,9.608052240279491
11,65.32282366071429,79.08954480229592,33.66759008290816,58.93096702759554,53.278184512031046,68.68980503907737,93.51938210457824,0.9912014846059933,0.4612657347865765,9.564271623299941
12,92.19565130739795,122.3910833864796,67.07932079081633,44.100334813630745,55.014191258709516,27.29385874938778,91.95845915666483,0.9765539798336439,0.33957562878342906,11.21178410809182
13,147.21358816964286,159.28816565688774,30.8681640625,24.447967696997463,22.602024928459187,32.32220762468565,67.51893589146027,0.8838180160102411,0.26796642371101603,10.428908899504297
14,146.7002949617347,159.47911352040816,29.262316645408163,23.580487739179386,21.851985027923266,31.015187769470316,61.18099272162262,0.8851734850291776,0.2740209678318241,10.352972626441165
15,147.5176777742347,159.76580436862244,28.493582589285715,23.15951743374968,22.746234027875612,28.997943006578208,65.18652603809075,0.8849530116097091,0.26583257426211215,10.387044861300444
16,73.71029974489795,94.50129544005102,17.24509725765306,41.49890046228358,36.00299154386409,43.68543563967479,128.4509093752424,0.9579977094706811,0.25900524587099455,10.70109933396374
17,70.49266581632654,91.64327566964286,12.488978794642858,34.57479832637118,30.23544803809977,34.38671875424497,113.7192174218191,0.9437338382656475,0.26307822644217427,10.548425734666912
18,133.4923867984694,135.57254464285714,93.52710459183673,29.666231335371098,34.23058659129999,36.5364875464084,74.57283682918562,0.9641193228787313,0.22913050914882016,11.42824335682906
19,135.96137595663265,138.8230827487245,95.49314413265306,25.847947948681803,27.17524299474047,31.192364465623097,55.87611831573558,0.9592247375625849,0.23085108760827178,11.105818186254627
20,79.35369499362245,103.11228475765306,32.58783083545919,53.86113591628056,43.3031340615973,57.58276730300831,236.99682044538545,0.9482163440550878,0.23354074918796594,11.82988126766662
21,79.11417809311224,103.05630181760205,32.91464046556123,53.776321137810086,43.840359027122695,58.46716094307558,240.31148923145594,0.9478771907035652,0.2169449094583956,11.93232682587888
22,144.7043606505102,140.6213926977041,109.39999202806122,34.03838036406413,27.24867494272653,38.27646293475737,100.89292480871323,0.9426453399434707,0.19542080058715017,11.824714639453344
23,147.79253029336735,141.46115672831633,113.77562978316327,30.0226643768098,23.48392268787178,32.81872148261181,60.77608910383566,0.9530835788183092,0.23487243104168,11.297260820020785
24,142.4745097257653,141.5736009247449,106.54771205357143,34.19625297125375,29.048049605805303,40.865755839647186,139.99877795239485,0.926394815252659,0.1763338266515739,12.058119704538852
25,145.3673867984694,143.0353156887755,111.0943678252551,32.60977633457213,26.446489394086203,38.07100406625482,98.15910938177782,0.94040878349361,0.18873337284546085,11.793525108845662
26,143.94925860969389,141.5407166772959,108.15449617346938,34.613505495453055,28.78801862336713,40.38497833749745,121.69926699137899,0.9359224376551005,0.18306573349461291,11.98616506748038
27,145.38462611607142,167.82716836734693,20.54035794005102,14.645012975954883,15.989688714000406,13.082257202298194,24.026014929489257,0.920389709675633,0.3504795400909308,9.276456135763537
28,146.173828125,166.4374402104592,23.603675063775512,16.69832391785511,17.459341220076407,16.31695309893001,32.76130479879518,0.9055892987416366,0.30951751110154196,9.6871910451144
29,134.40766501913265,143.61814413265307,108.16675302933673,36.95868126617861,28.227329306366233,45.03508583341293,82.06189958054802,0.9598910411927141,0.20719693134435943,11.76840926834793
30,133.74079241071428,142.80090082908163,107.91629464285714,37.83792174036172,28.8012357483118,45.9128088660099,76.78726388992628,0.9640975046408103,0.20977584336431873,11.765995891576038
31,84.33607700892857,110.00538105867346,32.44437579719388,51.41847187643357,41.85234417654845,58.57328515963519,190.04812076993016,0.9541189602562289,0.23399690817564345,11.618126127820213
32,99.49214764030613,126.70232780612245,71.64074457908163,48.54326974474799,56.6432628200181,27.741003200416166,81.6366584566924,0.9815940887155464,0.35135790878715734,11.2268246148912
33,102.13400829081633,134.3020169005102,71.22112165178571,46.75927145328259,54.74260038245939,27.398622294790872,101.40614568461058,0.9753253331184105,0.3151362140112143,11.489704941377564
34,136.50912786989795,134.54544005102042,99.12218989158163,34.56189447893167,29.012787468090686,41.12394978755226,134.02313465321328,0.9299068592148884,0.1757708688812688,12.0612163412696
35,100.61342075892857,125.84600207270408,72.68249760841837,50.02319545725166,57.231337932065294,28.84283580171437,82.51351663067396,0.9820970614012375,0.34252094410238,11.306007449247101
36,91.0537109375,123.31501116071429,65.1229472257653,43.051792030702224,53.1227207144587,25.528102222461467,84.08581141483268,0.9769010749200169,0.3445595021405699,11.125721722866519
37,89.85429288903062,118.21175462372449,64.52160395408163,42.351573834607024,53.7834096724386,25.621073064786078,105.21450608279014,0.9714612490035727,0.3511716809668938,11.150756865140641
38,97.54717394770408,129.9493183992347,68.41697225765306,45.634231300544734,54.32501406492851,27.498542584592617,106.28144978820924,0.9732530737633425,0.3204009557778039,11.429695798893855
39,153.71045918367346,148.4142219387755,112.36633051658163,30.13818407485704,21.503563351938794,28.554794780946295,55.05089637172763,0.9497967821138277,0.22256727963425632,11.123924477181468
40,155.3655333227041,148.9589245854592,113.86041135204081,28.723647511514937,20.920934822866215,27.536907892124724,51.03702729508221,0.9492150831234055,0.22745836033508665,11.030271130462541
41,151.3231823979592,147.1025390625,112.10650510204081,28.95976302676216,20.970051339547638,28.13984898430814,62.0636965073915,0.9409852817843398,0.21903538817880047,11.170234318039242
42,148.14184072066325,144.71853077168367,110.03691007653062,27.47219123852211,19.802313322545835,26.151172093582904,37.57980775894636,0.9590391688556266,0.2684488675883796,10.70818706061794
43,147.54591836734693,144.1034558354592,109.90318080357143,26.449472989348095,20.132847591724055,27.14869740546701,54.83396313824501,0.9402536343943425,0.22428994863946616,11.03209962599277
44,146.11146763392858,142.87414301658163,108.80125956632654,26.884277572788136,20.118181704999788,26.5024208620882,59.58855508014152,0.9350424093581873,0.22090120071753938,11.061245841530537
